""	logFC	AveExpr	t	P.Value	adj.P.Val	B
VPS54	-4.89346723150835	4.85435765879282	-19.2570507419856	1.22341718804609e-06	6.39051955386653e-06	6.30206325130561
SMAP2	-4.92260389502837	4.23274190696292	-19.2557609049237	1.22390387649071e-06	6.39172542856268e-06	6.23349740764548
FLNB	-6.63750615226778	7.1572235292414	-19.2533750890221	1.22480469965457e-06	6.39509312772616e-06	6.40207255118823
ARL6IP5	-6.51839754703953	6.05006228693911	-19.2503530617899	1.2259468478264e-06	6.39785460020843e-06	6.37073681744433
RANBP1P1	-5.57058700409879	5.44839059915209	-19.2501137087248	1.22603736213574e-06	6.39785460020843e-06	6.34266797917293
KCNN2	-4.44801596218027	4.13010300437812	-19.2499432757735	1.22610181819556e-06	6.39785460020843e-06	6.21802123158873
ARFGEF3	-5.05220653261072	5.12303679107877	-19.2483808807997	1.22669288435887e-06	6.39960221817121e-06	6.32117158492753
STAT2	-5.22133691369281	5.10743094516376	-19.2470508404042	1.2271963102704e-06	6.40036034855992e-06	6.31968074813727
MSH3	-4.57107808756789	4.90282915605751	-19.2459055280561	1.22763000849748e-06	6.40036034855992e-06	6.30324330937592
MSANTD3	-5.10319868550196	5.02085582035244	-19.2456919348337	1.22771091009729e-06	6.40036034855992e-06	6.31282003697433
TEX2	-4.28891645857845	4.61278841351258	-19.2452906530674	1.22786291829362e-06	6.40036034855992e-06	6.27577776422177
GSN	-6.41239539042741	6.24628046017178	-19.2436149523433	1.22849792158545e-06	6.40233460010238e-06	6.37576742872252
CYTH3	-4.33954104500903	4.57377827423356	-19.2410028744109	1.2294885253757e-06	6.40616085880843e-06	6.27051724546281
RPA3	-5.21330673125459	5.23961765836467	-19.2385500463023	1.23041958165412e-06	6.40967531860852e-06	6.32662504700833
MT-ND4	-13.5748033112821	11.6229968066089	-19.2371137617947	1.23096515430895e-06	6.41118061606311e-06	6.42221900268048
SLC25A36	-6.77614674089956	6.46620739193756	-19.2352771369433	1.2316632064353e-06	6.41274035735112e-06	6.38021142742209
WSCD1	-6.12098891214288	6.28047986719942	-19.2349752836251	1.23177797690234e-06	6.41274035735112e-06	6.37444552278814
NDUFV2P1	-5.03920536669966	5.01820939827872	-19.2324868162181	1.23272461467944e-06	6.41633161940651e-06	6.30905551402486
IMP3	-5.40632435363102	6.03240113143287	-19.2310989879991	1.23325292607693e-06	6.41774445013662e-06	6.36465185864721
TMEM39B	-4.38333758305326	4.26341063447928	-19.2268267186389	1.2348809266453e-06	6.42487819060938e-06	6.23014600228752
LNX2	-4.68738382750433	4.84231498030655	-19.2194387986141	1.23770208955646e-06	6.43821549145924e-06	6.29095663765371
LINC01224	-6.62052643762134	6.05539076461646	-19.2176817417816	1.23837414562987e-06	6.43987346650353e-06	6.36174366698071
SERF2	-7.90433264607805	7.7081989040636	-19.2172578497597	1.23853634352183e-06	6.43987346650353e-06	6.40106830446232
SERPING1	-7.47968869268507	6.70509065432995	-19.212587556976	1.24032502032189e-06	6.44783194084936e-06	6.38015246958208
SMPDL3B	-4.23706943282887	4.98589802581731	-19.209039601733	1.24168586215053e-06	6.45356346577257e-06	6.30018101939927
ZBTB4	-4.9306653790925	4.73543638462142	-19.2037377058852	1.24372267908718e-06	6.46280520264437e-06	6.27696780192299
PARD6G	-4.39368743199124	4.48816052188415	-19.1950005839965	1.24708768792371e-06	6.4788558131115e-06	6.24914098247299
